Top pages,Clicks,Impressions,CTR,Position
https://chrisyourmanwithavan.com/,164,5181,3.17%,12.34
https://chrisyourmanwithavan.com/locations/kilmarnock,51,1825,2.79%,18.32
https://chrisyourmanwithavan.com/locations/largs,30,481,6.24%,7.35
https://chrisyourmanwithavan.com/locations/girvan,27,664,4.07%,12.93
https://chrisyourmanwithavan.com/locations/troon,22,988,2.23%,13.46
https://chrisyourmanwithavan.com/locations/kilwinning,19,668,2.84%,8.39
https://chrisyourmanwithavan.com/locations/prestwick,17,577,2.95%,13.46
https://chrisyourmanwithavan.com/locations/irvine,12,1157,1.04%,16.55
https://chrisyourmanwithavan.com/locations/saltcoats,12,414,2.9%,7.99
https://chrisyourmanwithavan.com/services/waste-removal,12,402,2.99%,17.3
https://chrisyourmanwithavan.com/locations/ardrossan,10,351,2.85%,36.18
https://chrisyourmanwithavan.com/services/flat-pack-assembly,10,264,3.79%,12.41
https://chrisyourmanwithavan.com/locations/beith,9,313,2.88%,14.14
https://chrisyourmanwithavan.com/locations/ayr,8,510,1.57%,19.15
https://chrisyourmanwithavan.com/locations/cumnock,7,337,2.08%,13.83
https://chrisyourmanwithavan.com/locations/sanquhar,7,286,2.45%,12.42
https://chrisyourmanwithavan.com/locations/maybole,7,177,3.95%,14.31
https://chrisyourmanwithavan.com/locations/darvel,7,150,4.67%,20.75
https://chrisyourmanwithavan.com/locations/stewarton,6,110,5.45%,6.68
https://chrisyourmanwithavan.com/locations/dalmellington,6,88,6.82%,8.12
https://chrisyourmanwithavan.com/locations/auchinleck,5,179,2.79%,43.12
https://chrisyourmanwithavan.com/locations/dalry,4,429,0.93%,14.13
https://chrisyourmanwithavan.com/locations/patna,4,88,4.55%,4.84
https://chrisyourmanwithavan.com/services/collection-and-delivery,3,63,4.76%,13.25
https://chrisyourmanwithavan.com/locations/newmilns,3,45,6.67%,15.4
https://chrisyourmanwithavan.com/contact,2,315,0.63%,28.7
https://chrisyourmanwithavan.com/locations/mauchline,2,150,1.33%,15.68
https://chrisyourmanwithavan.com/locations/kirkconnel,2,55,3.64%,20.27
https://chrisyourmanwithavan.com/services,1,639,0.16%,46.77
https://chrisyourmanwithavan.com/services/courier,1,252,0.4%,12.58
https://chrisyourmanwithavan.com/services/small-removals,1,103,0.97%,32.34
https://chrisyourmanwithavan.com/locations/mossblown,1,54,1.85%,28.35
https://chrisyourmanwithavan.com/services/end-of-tenancy,0,892,0%,31.22
https://chrisyourmanwithavan.com/locations/dreghorn,0,76,0%,15.74
https://chrisyourmanwithavan.com/vanlogo.png,0,1,0%,20